"FileName","WordCount","TextPreview"
"001_2026-02-19_Daily_190226_They_Said_She_Couldn_t_Fly.html","586","My phone rang at 9:47 PM last night.
It was Tamara. And Tamara doesn't call at 9:47 PM unless someth..."
"002_2026-02-17_Daily_170226_.html","420","I was reading reviews last night. 11 PM. George asleep. House quiet.
Most reviews make me smile. Som..."
"003_2026-02-15_Daily_150226_Writer_Confession.html","688","I was going to be a writer.
Not a handbag designer. A writer.
I had 47 pages of a memoir saved on a ..."
"004_2026-02-13_TEASER_130226_Bag_Charm_Survey.html","331","Two weeks ago, I got an email from a customer named Shayla.
Subject line: ""Request: Can you make thi..."
"005_2026-02-11_SALE_110226_BLS_LOVE_DAY_3_Close.html","196","A few hours left. Then this sale is DEAD.
Not ""paused."" Not ""coming back next week."" DEAD.
$0.95 wal..."
"006_2026-02-11_TEASER_110226_BLS_Day_3_LAST_CALL.html","132","LAST DROP. Right now. Tonight this sale DIES.
$0.95 - $9.95 premium leather wallets. All still hidin..."
"007_2026-02-11_TEASER_110226_BLS_Day_3_Opening.html","542","FINAL DAY of Black Love Sale is LIVE.
And I did something that's going to make yesterday look TAME.
..."
"008_2026-02-11_SALE_110226_BLS_LOVE_DAY_3_Opening.html","412","FINAL DAY of Black Love Sale is LIVE.
And I did something that's going to make yesterday look TAME.
..."
"009_2026-02-11_SALE_100226_BLS_LOVE_DAY_2_LAST_DROP.html","381","Last drop of Day 2 is LIVE.
Bags $9.95 to $99.95.
Backpacks $59.95 - $79.95.
And a few $9.95 leather..."
"010_2026-02-11_TEASER_100226_BLS_Day_2_Last_Drop.html","593","Last drop of Day 2 is LIVE right now.
$9.95 leather backpacks. Still hiding in the collection.
The m..."
"011_2026-02-10_SALE_100226_BLS_LOVE_DAY_2.html","911","Day 2 of Black Love Sale is LIVE.
And today?
We did something we've NEVER done before.
Leather backp..."
"012_2026-02-10_TEASER_100226_BLS_Day_2.html","844","Day 2 of Black Love Sale is LIVE.
And today?
We did something we've NEVER done before.
Leather backp..."
"013_2026-02-09_TEASER_090226_BLS_Last_Drop_Day_1.html","517","7 PM.
Monday.
We're still at the office.
Nobody went home.
I didn't plan for this.
I thought we'd la..."
"014_2026-02-09_TEASER_090226_BLS_IS_LIVE.html","305","10:47 AM.
Black Love Sale Was LIVE.
From 10:00 ET.
I can't.
Because every 90 seconds, Tasha yells fr..."
"015_2026-02-09_SALE_090226_Round_1_REGISTERED.html","273","Black Love Sale is LIVE.
Right now.
170 bags. $9.95 to $99.95.
Every bag. Every backpack. Every sing..."
"016_2026-02-08_TEASER_080226_LAST_CALL.html","256","23 hours and 58 minutes.
That's how long until...
Black Love Sale goes live.
And I just checked the ..."
"017_2026-02-08_TEASER_080226_BLS_LOVE_04.html","267","My phone just buzzed.
Text from Keisha (you remember her from our hunting test):
""Michelle, I set FO..."
"018_2026-02-07_TEASER_070226_Two_Strategy.html","474","2 days left.
Until Black Love Sale goes live Monday.
And last night, I needed to make sure the treas..."
"019_2026-02-06_TEASER_060226_BLS_LOVE_03.html","595","3 days. That's all we have left.
Until Black Love Sale goes LIVE.
And I did something kinda crazy ye..."
"020_2026-02-06_TEASER_060226_Math_Problem.html","241","3 days.
That's all we have left.
Until 500+ women start hunting for $9.95 bags across 12 shuffle rou..."
"021_2026-02-05_TEASER_050226_Claw_Machines.html","345","My 7-year-old son Eli keeps his money in a ziplock bag.
Not a piggy bank. Not a wallet. A ziplock ba..."
"022_2026-02-04_TEASER_040226_SHE_GETS_IT.html","236","I woke up at 6:47am today.
Grabbed my phone. Checked messages.
247 people had already texted 'BLS.'
..."
"023_2026-02-04_TEASER_040226_BLS_02.html","265","I'm sitting in the Starbucks drive-thru yesterday, waiting on my oat milk latte, scrolling through I..."
"024_2026-02-03_TEASER_030226_Correct_Keyword.html","200","8:47 this morning.
I'm sipping my coffee, scrolling through yesterday's signups, feeling GOOD about ..."
"025_2026-02-03_TEASER_030226_Not_Valentine_Sale.html","206","Seven.
I counted SEVEN pink ads in a row on my Instagram this morning.
Heart-shaped purses. ""Valenti..."
"026_2026-02-02_DAILY_020226_White_Woman.html","510","My phone buzzes at 7:23 AM.
It's Nia. Day 2 of her Black history pledge.
""Mom! Day 2! Did you know t..."
"027_2026-02-01_DAILY_010226_Happy_BHM.html","357","I was deep in that Sunday morning sleep. You know the one. The kind where you're half-dreaming, half..."
"028_2026-01-31_DAILY_310126_Mental_Health.html","657","Last week I was invited to a career guidance session for a friend's daughter.
She's a cute, but slig..."
"029_2026-01-30_TEASER_300126_New_Bag_Survey.html","305","Remember how 400 of you voted on those tote designs last week?
Well, Keisha (our Head Designer) and ..."
"030_2026-01-29_DAILY_290126_USPS_Delay.html","318","Sis,
Were your area hit by the Winter Storms?
Here in Albuquerque, we're fine. A little cold, but no..."
"031_2026-01-28_DAILY_280126_Black_Superheroes.html","388","I made Jennifer read a customer review three times yesterday before I'd let her get back to work.
Sh..."
"032_2026-01-27_DAILY_270126_Braiding_Hair.html","326","12:46 PM last Sunday.
I'd been braiding Nia's hair for two hours.
Fingers cramping. One section left..."
"033_2026-01-26_DAILY_260126_Wunmi_Mosaku.html","491","Have you seen Sinners?
If you haven't, sis, you NEED to.
It just got 16 Oscar nominations (nearly al..."
"034_2026-01-25_SALE_250126_Legacy_Collection_Last_call.html","144","2:44 PM. Sunday afternoon.
I'm at my desk at the warehouse trying to write this email.
Keisha BURSTS..."
"035_2026-01-25_SALE_250126_Legacy_Collection_Stalked_Her_Order.html","285","9:47 AM. Sunday morning.
I'm still in bed, scrolling through emails on my phone.
Most of it is order..."
